species,mass_centre,area_dist,density,morans_i,gearys_c
1,[ 97.57142857  93.55102041],46418.241774658651,0.0010556194747288084,0.0,0.9336501275510204
2,[ 99.25373134  96.55820896],44886.840939378853,0.0074632117785350159,0.0,0.9447525
3,[ 107.83333333   90.17948718],42076.183313694797,0.0018537803065092374,0.0,0.9967699519230769
4,[ 118.20588235   98.05882353],48385.845288140139,0.00070268484093908646,0.0,0.999975
5,[  94.23076923  111.52307692],51329.237627097813,0.001266334802636638,0.0,0.9922828846153846
6,[ 89.28054299  96.84615385],45984.282391473615,0.0048059899710640635,0.0,0.9886630656108597
7,[ 81.50649351  95.64935065],48307.626443547917,0.0015939512178264827,0.0,0.9902349837662338
8,[  85.35        101.38333333],48408.391046790901,0.001239454538821685,0.0,0.98330875
9,[ 100.48766603   97.20113852],54345.079868460067,0.0096972900081402202,0.25,0.7348013638519925
10,[ 101.07142857  115.17857143],67600.009328915243,0.00041420112627149109,0.0,0.9374765625
11,[ 116.1627907   119.48837209],48855.374602042873,0.0044007440686169635,0.0,0.9281310017523364
12,[  87.16435185  101.13888889],50326.990785992864,0.077254768053450121,0.25,0.7127522424768519
13,[ 104.10849057   93.74056604],50617.796723462328,0.0041882502543168559,0.125,0.869082045990566
14,[ 99.25499232  95.24116743],44762.267220703878,0.014543499255526834,0.125,0.8571352068865741
15,[ 84.77192982  94.10526316],44569.146464559402,0.0012789116355487174,0.0,0.999975
16,[  98.33276353  107.12806268],47728.112258031215,0.14708312706875901,0.5,0.4594258360042735
17,[ 112.04225352  100.43661972],35851.663414633957,0.0019803823097094895,0.0,0.9964539612676057
18,[ 108.26618705   89.00719424],48026.35989471108,0.0028942439173972757,0.0,0.9927809352517986
19,[  93.68333333  117.08333333],46719.484798855039,0.0012842607374272763,0.0,0.9874753125
20,[ 101.25952381   92.93809524],45144.760466102685,0.0093034052161016668,0.0,0.9711869369033412
21,[  95.19148936  101.18297872],44726.139196406206,0.0052541981986874136,0.0,0.9914645744680851
22,[ 98.91111111  85.6       ],50697.594952154897,0.00088761607019954456,0.0,0.999975
23,[ 112.34444444   82.38888889],53985.41749609189,0.0016671168655223473,0.0,0.9971972916666667
24,[ 85.77358491  99.28301887],45271.414857419462,0.0011707166689382564,0.0,0.999975
25,[  85.77922078  101.35064935],46309.36951634186,0.0016627304755861098,0.0,0.9934816558441558
26,[ 107.87318841   97.88768116],47276.028488597178,0.0058380538472382528,0.0,0.9836710597826087
27,[  88.41509434  108.96226415],43138.110158865376,0.0012286120046709531,0.0,0.9952581367924528
28,[ 110.99078341   97.2764977 ],42710.858529974474,0.0050806752069314978,0.0,0.9826943260368664
29,[  92.35391121  104.20211416],57230.367911256646,0.041324214509109038,0.125,0.8305978678109083
30,[ 105.2429078    95.81028369],40212.495019398884,0.014025491323727143,0.25,0.753117372311828
31,[  95.74206349  104.22619048],48926.386800994151,0.0051505949340792017,0.0,0.9890625744047619
32,[  95.51367274  101.8403735 ],51240.951483214623,0.17556270404047603,0.375,0.5220763596634944
33,[  89.27272727  106.63636364],48009.611223554028,0.00091648315573972261,0.0,0.999975
34,[  95.87531381  100.28200837],46012.269750479027,0.025971333439545417,0.0,0.94511875
35,[ 104.11538462  105.85897436],43588.977392297762,0.001789443218591834,0.0,0.9967699519230769
36,[ 95.9         88.68333333],50882.628262948005,0.0023583687418792841,0.0,0.89372765625
37,[  92.92105263  110.19736842],46253.645250907073,0.0016431137392032809,0.0,0.999975
38,[ 93.175  84.35 ],53903.299488138022,0.00074206960204360804,0.0,0.99372515625
39,[  60.58041958  118.54125874],62872.462402425837,0.011372228360065198,0.125,0.7787587791313559
40,[ 122.25694444   75.125     ],54342.784453602304,0.0026498458157392861,0.0,0.96872578125
41,[ 89.56610169  76.8       ],42631.000590003903,0.0069198469638822287,0.125,0.8503188775510204
42,[ 102.89940828   94.57988166],46481.862375190853,0.0072716535596560675,0.125,0.8047136094674556
43,[  90.2         104.65454545],41183.010355116407,0.0013355021773722043,0.0,0.999975
44,[ 103.925       104.88611111],45598.460644482351,0.0078950033600215814,0.0,0.974975625
45,[ 109.60562143   97.34563022],46344.657775469284,0.049131876451253893,0.0,0.9077506916996048
46,[ 105.45098039   91.21568627],50230.847636467188,0.0010153123508705119,0.0,0.9607602941176471
47,[ 102.5942029    95.36231884],43040.020611428496,0.0016031590835641539,0.0,0.9927288043478261
48,[  84.83860759  108.27056962],52166.587075717114,0.012115034458410794,0.0,0.9013089452503975
49,[  94.07253886  111.5388601 ],46772.781127766961,0.004126331497645846,0.125,0.8536056023316062
50,[ 102.           95.72881356],46418.220948061084,0.0025421051817568403,0.0,0.9046384004237288
51,[  73.36363636  115.84848485],55953.966294680933,0.0011795410472317859,0.0,0.9848238636363637
52,[ 97.59016854  99.93146067],54729.285566099599,0.065047441478116683,0.25,0.7140973156601124
53,[  98.74123989  101.50404313],46783.31149742422,0.0079301782649658387,0.0,0.9103545990566038
54,[ 100.92   94.28],49325.658678833504,0.0010136712076276007,0.0,0.994975125
55,[ 87.16666667  90.6       ],54871.856648396744,0.0010934567128731026,0.0,0.9958084375
56,[ 106.06  112.12],55960.366841119736,0.0008934894966281734,0.0,0.994975125
57,[ 105.33898305   91.33898305],52548.917625672002,0.0011227633729828988,0.0,0.9915006355932203
58,[ 109.11111111   94.37037037],45794.18593384909,0.0011791889930744576,0.0,0.9305322916666666
59,[ 116.14727375   86.12310287],42944.066197630556,0.041425979361454986,0.125,0.8561020502320023
60,[  90.85075758  106.29659091],37606.597927729701,0.070200447407484379,0.5,0.5412141035039761
